dgrp	sex	low_extreme	mediocre	high_extreme	total_nr_phenotypes	fraction_extreme
DGRP_048	M	0.08695652173913043	0.7391304347826086	0.17391304347826086	23	0.2608695652173913
DGRP_048	NA	0.2857142857142857	0.7142857142857143	NA	7	0.2857142857142857
DGRP_049	F	0.13043478260869565	0.782608695652174	0.08695652173913043	69	0.21739130434782608
DGRP_049	M	0.08974358974358974	0.782051282051282	0.1282051282051282	78	0.21794871794871795
DGRP_049	NA	0.09090909090909091	0.5454545454545454	0.36363636363636365	33	0.4545454545454546
DGRP_057	F	0.04411764705882353	0.8676470588235294	0.08823529411764706	68	0.1323529411764706
DGRP_057	M	0.12	0.6933333333333334	0.18666666666666668	75	0.30666666666666664
DGRP_057	NA	0.15384615384615385	0.7307692307692307	0.11538461538461539	52	0.2692307692307693
DGRP_059	F	0.1095890410958904	0.6164383561643836	0.273972602739726	73	0.3835616438356164
DGRP_059	M	0.08641975308641975	0.7901234567901234	0.12345679012345678	81	0.20987654320987653
DGRP_059	NA	0.17307692307692307	0.7692307692307693	0.057692307692307696	52	0.23076923076923078
DGRP_069	F	0.2028985507246377	0.7391304347826086	0.057971014492753624	69	0.2608695652173913
DGRP_069	M	0.15584415584415584	0.7272727272727273	0.11688311688311688	77	0.2727272727272727
DGRP_069	NA	0.11538461538461539	0.7692307692307693	0.11538461538461539	52	0.23076923076923078
DGRP_073	F	0.20833333333333334	0.625	0.16666666666666666	72	0.375
DGRP_073	M	0.15384615384615385	0.7051282051282052	0.14102564102564102	78	0.2948717948717949
DGRP_073	NA	0.19148936170212766	0.7659574468085106	0.0425531914893617	47	0.23404255319148937
DGRP_075	F	0.0821917808219178	0.5753424657534246	0.3424657534246575	73	0.4246575342465753
DGRP_075	M	0.0379746835443038	0.7974683544303798	0.16455696202531644	79	0.20253164556962025
DGRP_075	NA	0.15384615384615385	0.7692307692307693	0.07692307692307693	52	0.23076923076923078
DGRP_080	F	0.0625	0.9375	NA	16	0.0625
DGRP_080	M	0.3333333333333333	0.5	0.16666666666666666	6	0.5
DGRP_083	F	0.1891891891891892	0.6891891891891891	0.12162162162162163	74	0.31081081081081086
DGRP_083	M	0.15	0.7125	0.1375	80	0.2875
DGRP_083	NA	0.1346153846153846	0.8076923076923077	0.057692307692307696	52	0.1923076923076923
DGRP_085	F	0.1917808219178082	0.6438356164383562	0.1643835616438356	73	0.3561643835616438
DGRP_085	M	0.06172839506172839	0.7654320987654321	0.1728395061728395	81	0.2345679012345679
DGRP_085	NA	0.3137254901960784	0.45098039215686275	0.23529411764705882	51	0.5490196078431373
